variant,compile,fused,step_index,is_warmup,actor_training_s,run_interact_once_s,construct_rollout_batch_s,step_s
baseline,0,0,1,1,63.420,61.777,62.327,126.500
baseline,0,0,2,0,64.450,82.655,0.084,65.563
baseline,0,0,3,0,65.666,71.563,25.162,91.571
baseline,0,0,4,0,67.458,77.945,11.100,79.312
baseline,0,0,5,0,64.902,78.542,8.091,74.004
baseline,0,0,6,0,66.398,77.749,11.099,78.388
baseline,0,0,7,0,65.776,78.534,10.091,76.508
baseline,0,0,8,0,66.049,77.962,10.090,76.641
baseline,0,0,9,0,66.031,77.522,10.091,77.109
compile,1,0,1,1,64.799,90.227,93.462,159.100
compile,1,0,2,0,64.136,77.030,0.045,64.781
compile,1,0,3,0,64.162,71.250,15.113,80.206
compile,1,0,4,0,62.406,74.302,7.089,70.048
compile,1,0,5,0,61.521,73.621,9.089,71.341
compile,1,0,6,0,62.530,73.150,10.090,73.305
compile,1,0,7,0,63.031,73.422,10.093,73.730
compile,1,0,8,0,63.701,74.491,9.117,73.507
compile,1,0,9,0,64.525,73.946,9.086,74.192
fused,0,1,1,1,60.067,60.655,61.308,122.400
fused,0,1,2,0,60.040,78.483,0.079,61.275
fused,0,1,3,0,59.776,68.822,24.149,84.842
fused,0,1,4,0,59.774,74.226,11.116,71.840
fused,0,1,5,0,60.983,73.837,12.096,73.732
fused,0,1,6,0,60.066,74.119,11.104,72.045
fused,0,1,7,0,60.339,73.989,12.101,72.889
fused,0,1,8,0,63.621,74.658,14.142,78.719
fused,0,1,9,0,63.522,75.963,11.095,75.496
both,1,1,1,1,63.547,96.253,97.457,161.700
both,1,1,2,0,63.048,75.589,0.051,64.047
both,1,1,3,0,64.505,70.116,18.127,83.532
both,1,1,4,0,63.895,74.833,9.093,73.505
both,1,1,5,0,64.887,75.057,9.095,74.708
both,1,1,6,0,63.694,74.384,8.083,72.449
both,1,1,7,0,63.612,74.262,9.091,73.476
both,1,1,8,0,63.223,73.986,8.082,72.005
both,1,1,9,0,62.479,73.762,8.080,71.161
