variant,compile,fused,step_index,is_warmup,actor_training_s,run_interact_once_s,wait_for_rollout_store_ready_s,step_s,source
baseline,0,0,1,1,68.160370,64.941383,69.290558,138.394409,tensorboard
baseline,0,0,2,0,67.902199,80.816353,0.000511,68.934479,tensorboard
baseline,0,0,3,0,67.346222,75.914108,16.073551,84.374496,tensorboard
baseline,0,0,4,0,68.302444,78.376945,8.032881,77.289093,tensorboard
baseline,0,0,5,0,65.342606,78.648476,8.037907,74.037018,tensorboard
baseline,0,0,6,0,65.686859,78.132790,10.046942,76.661880,tensorboard
baseline,0,0,7,0,62.248436,78.205917,9.046262,71.821793,tensorboard
baseline,0,0,8,0,63.936020,76.374725,11.057460,75.717201,tensorboard
baseline,0,0,9,0,63.730431,76.394547,10.044947,74.307762,tensorboard
compile,1,0,1,1,65.871834,121.636063,122.617462,189.436157,tensorboard
compile,1,0,2,0,66.474449,74.490166,0.000517,67.687973,tensorboard
compile,1,0,3,0,65.931000,71.050095,11.046924,77.451027,tensorboard
compile,1,0,4,0,70.477997,72.984795,6.024942,76.561485,tensorboard
compile,1,0,5,0,67.475403,72.959969,0.002184,68.352287,tensorboard
compile,1,0,6,0,67.953590,73.067284,2.011229,70.498161,tensorboard
compile,1,0,7,0,66.866814,72.212509,2.011016,69.407150,tensorboard
compile,1,0,8,0,65.579460,72.071693,4.021464,70.255173,tensorboard
compile,1,0,9,0,66.823,72.682,,73.544,metrics_log_3dp
fused,0,1,1,1,61.833565,61.054844,62.273571,125.152405,tensorboard
fused,0,1,2,0,61.409042,78.706352,0.000592,61.973152,tensorboard
fused,0,1,3,0,60.105244,70.127716,22.098181,83.059586,tensorboard
fused,0,1,4,0,58.998955,73.649017,11.051462,70.830322,tensorboard
fused,0,1,5,0,61.525452,73.241364,13.059044,75.552101,tensorboard
fused,0,1,6,0,62.673241,74.977638,11.051255,74.168945,tensorboard
fused,0,1,7,0,61.528648,77.042221,12.061629,74.222427,tensorboard
fused,0,1,8,0,60.164452,74.669746,11.054681,72.103195,tensorboard
fused,0,1,9,0,61.981449,73.482368,11.044401,73.819794,tensorboard
both,1,1,1,1,64.162460,95.704689,97.409790,162.456024,tensorboard
both,1,1,2,0,63.739964,79.752831,0.000633,64.635033,tensorboard
both,1,1,3,0,63.650009,70.611679,18.092562,82.353508,tensorboard
both,1,1,4,0,64.333054,75.898216,11.044304,76.358109,tensorboard
both,1,1,5,0,64.925995,76.018761,11.049230,76.801163,tensorboard
both,1,1,6,0,63.840664,76.623268,10.049520,74.864708,tensorboard
both,1,1,7,0,64.471649,76.901955,11.046583,76.397217,tensorboard
both,1,1,8,0,65.011360,76.948631,12.050964,78.094040,tensorboard
both,1,1,9,0,67.792313,78.097847,13.057237,80.907135,tensorboard
