placement,variant,compile,fused,step_index,analysis_excluded,actor_training_s,run_interact_once_s,construct_rollout_batch_s,step_s,actor_sync_model_to_rollout_s
disagg_2_2,baseline,0,0,1,1,94.391,99.686,101.500,196.400,2.567
disagg_2_2,baseline,0,0,2,1,96.827,102.500,0.086,96.922,1.548
disagg_2_2,baseline,0,0,3,1,99.929,100.700,11.126,111.100,4.281
disagg_2_2,baseline,0,0,4,0,98.078,99.912,0.082,99.493,1.135
disagg_2_2,baseline,0,0,5,0,97.272,100.600,2.087,99.369,1.326
disagg_2_2,baseline,0,0,6,0,99.713,101.300,4.108,104.800,2.538
disagg_2_2,baseline,0,0,7,0,99.675,101.100,3.098,102.800,1.040
disagg_2_2,baseline,0,0,8,0,99.518,101.300,1.087,101.300,1.045
disagg_2_2,baseline,0,0,9,0,99.146,100.900,2.088,102.100,1.067
disagg_2_2,compile,1,0,1,1,95.114,138.900,161.700,257.500,2.460
disagg_2_2,compile,1,0,2,1,95.398,96.863,0.087,96.539,1.187
disagg_2_2,compile,1,0,3,1,94.590,96.188,2.088,96.688,1.050
disagg_2_2,compile,1,0,4,0,96.091,96.387,0.082,96.189,1.079
disagg_2_2,compile,1,0,5,0,97.910,99.053,0.081,98.003,1.068
disagg_2_2,compile,1,0,6,0,98.127,98.023,0.097,98.235,1.039
disagg_2_2,compile,1,0,7,0,97.470,97.357,0.083,97.563,1.020
disagg_2_2,compile,1,0,8,0,97.627,97.669,0.081,97.719,1.034
disagg_2_2,compile,1,0,9,0,97.644,97.825,0.106,97.762,1.076
disagg_2_2,fused,0,1,1,1,89.839,97.362,98.502,188.400,2.530
disagg_2_2,fused,0,1,2,1,91.097,99.238,0.198,92.096,1.577
disagg_2_2,fused,0,1,3,1,92.019,97.916,15.158,107.800,1.002
disagg_2_2,fused,0,1,4,0,91.675,97.821,5.108,96.794,1.023
disagg_2_2,fused,0,1,5,0,91.366,99.459,6.115,97.499,1.015
disagg_2_2,fused,0,1,6,0,93.115,98.860,7.181,100.500,0.988
disagg_2_2,fused,0,1,7,0,91.576,98.713,5.109,97.560,1.051
disagg_2_2,fused,0,1,8,0,91.741,98.004,5.115,96.868,1.017
disagg_2_2,fused,0,1,9,0,93.443,99.637,7.177,100.600,1.016
disagg_2_2,both,1,1,1,1,92.062,144.500,145.700,238.400,2.552
disagg_2_2,both,1,1,2,1,91.758,96.660,0.104,92.552,1.518
disagg_2_2,both,1,1,3,1,88.570,96.973,7.114,96.265,5.776
disagg_2_2,both,1,1,4,0,90.346,96.176,7.117,97.473,8.561
disagg_2_2,both,1,1,5,0,93.230,96.176,6.110,99.350,7.133
disagg_2_2,both,1,1,6,0,94.209,96.254,3.091,97.734,4.138
disagg_2_2,both,1,1,7,0,95.302,96.253,2.096,97.409,1.067
disagg_2_2,both,1,1,8,0,95.063,94.655,0.083,95.156,1.103
disagg_2_2,both,1,1,9,0,95.553,96.224,2.094,97.657,1.084
