backend,placement,variant,compile,fused,fused_offset_fix,step_index,analysis_excluded,actor_training_s,run_interact_once_s,env_interact_step_s,rollout_predict_s,construct_rollout_batch_s,step_s,actor_sync_model_to_rollout_s,success_once,episode_len
maniskill_gpu_sim,disagg_2_1_1,baseline,0,0,0,1,1,148.479889,372.237366,136.116653,213.444901,373.868195,522.373657,1.94226146,0.476190478,55.7671967
maniskill_gpu_sim,disagg_2_1_1,baseline,0,0,0,2,1,147.911606,,,,0.298795223,148.220108,1.01518166,,
maniskill_gpu_sim,disagg_2_1_1,baseline,0,0,0,3,1,147.993225,394.259918,139.244308,230.642761,490.320374,641.559265,89.5864334,0.364583343,62.4739571
maniskill_gpu_sim,disagg_2_1_1,baseline,0,0,0,4,0,147.578964,,,,0.41392231,148.003448,3.24182606,,
maniskill_gpu_sim,disagg_2_1_1,baseline,0,0,0,5,0,147.617569,399.13089,140.15036,234.277679,497.518829,649.450256,95.8857422,0.309895843,65.6380234
maniskill_gpu_sim,disagg_2_1_1,baseline,0,0,0,6,0,147.65657,,,,0.301249981,147.968048,152.284653,,
maniskill_gpu_sim,disagg_2_1_1,baseline,0,0,0,7,0,147.987,398.620361,139.754532,234.249954,496.320282,648.335205,95.3530121,0.372500002,63.4000015
maniskill_gpu_sim,disagg_2_1_1,baseline,0,0,0,8,0,147.61232,,,,0.299837828,147.922256,4.02213097,,
maniskill_gpu_sim,disagg_2_1_1,baseline,0,0,0,9,0,147.947372,398.364014,139.469391,234.301193,496.415833,647.987488,95.3244019,0.286863267,66.4879379
maniskill_gpu_sim,disagg_2_1_1,compile,1,0,0,1,1,146.109924,428.963043,136.747864,269.196838,431.091858,585.915588,1.92489994,0.502793312,54.134079
maniskill_gpu_sim,disagg_2_1_1,compile,1,0,0,2,1,145.307266,,,,0.486479044,158.321716,8.69351006,,
maniskill_gpu_sim,disagg_2_1_1,compile,1,0,0,3,1,145.866013,365.964233,138.449249,203.730698,419.015869,564.892944,57.7583809,0.322493225,65.1626053
maniskill_gpu_sim,disagg_2_1_1,compile,1,0,0,4,0,145.256073,,,,0.311154127,150.935303,1.18421447,,
maniskill_gpu_sim,disagg_2_1_1,compile,1,0,0,5,0,145.815369,369.291046,138.568817,206.778625,440.09668,585.922729,73.047966,0.374689817,62.8784103
maniskill_gpu_sim,disagg_2_1_1,compile,1,0,0,6,0,145.613678,,,,0.29271841,151.231018,1.0507282,,
maniskill_gpu_sim,disagg_2_1_1,compile,1,0,0,7,0,145.598694,369.767273,139.167801,206.60173,441.380249,586.990601,73.0457306,0.347715735,64.4289322
maniskill_gpu_sim,disagg_2_1_1,compile,1,0,0,8,0,145.231689,,,,0.291692019,152.259918,0.966296196,,
maniskill_gpu_sim,disagg_2_1_1,compile,1,0,0,9,0,145.518051,369.946564,139.469604,206.618896,441.115753,586.645752,74.6820221,0.405727923,60.9904518
maniskill_gpu_sim,disagg_2_1_1,fused_fixed,0,1,1,1,1,141.222717,367.4021,136.000504,207.628952,369.770447,511.019165,1.89080095,0.526881695,53.7634392
maniskill_gpu_sim,disagg_2_1_1,fused_fixed,0,1,1,2,1,139.881424,,,,0.308605671,140.200211,1.00254047,,
maniskill_gpu_sim,disagg_2_1_1,fused_fixed,0,1,1,3,1,138.237198,379.177795,138.132614,216.630081,474.272247,620.207581,88.4703979,0.331550807,64.4786072
maniskill_gpu_sim,disagg_2_1_1,fused_fixed,0,1,1,4,0,138.458282,,,,0.295923471,140.225723,7.69267464,,
maniskill_gpu_sim,disagg_2_1_1,fused_fixed,0,1,1,5,0,138.405609,383.089996,138.502304,219.962509,480.315155,625.594788,95.1511993,0.314577997,64.782608
maniskill_gpu_sim,disagg_2_1_1,fused_fixed,0,1,1,6,0,138.107544,,,,0.529996395,140.585495,6.86989164,,
maniskill_gpu_sim,disagg_2_1_1,fused_fixed,0,1,1,7,0,138.59108,383.702637,139.088898,220.043365,481.27301,627.170776,95.96035,0.336658359,64.1022415
maniskill_gpu_sim,disagg_2_1_1,fused_fixed,0,1,1,8,0,138.40094,,,,0.545913219,140.582016,7.30151796,,
maniskill_gpu_sim,disagg_2_1_1,fused_fixed,0,1,1,9,0,138.339813,383.748138,139.336273,219.96463,481.336792,626.85614,95.4958954,0.386533678,62.2693253
maniskill_gpu_sim,disagg_2_1_1,both_fixed,1,1,1,1,1,139.220505,404.932007,136.091003,245.666138,406.926788,546.17511,1.82440531,0.425414354,58.5082855
maniskill_gpu_sim,disagg_2_1_1,both_fixed,1,1,1,2,1,138.312469,,,,0.293911457,138.615677,1.01341462,,
maniskill_gpu_sim,disagg_2_1_1,both_fixed,1,1,1,3,1,138.501953,367.446014,138.497055,204.892883,455.317566,594.414185,84.8251572,0.357723564,63.1707306
maniskill_gpu_sim,disagg_2_1_1,both_fixed,1,1,1,4,0,138.168625,,,,0.293820381,138.471619,0.982408047,,
maniskill_gpu_sim,disagg_2_1_1,both_fixed,1,1,1,5,0,138.382965,367.479248,138.719086,204.814255,455.239441,595.291382,85.7964554,0.311518312,66.243454
maniskill_gpu_sim,disagg_2_1_1,both_fixed,1,1,1,6,0,138.543503,,,,0.296736717,138.849518,1.66409731,,
maniskill_gpu_sim,disagg_2_1_1,both_fixed,1,1,1,7,0,138.327606,368.209106,139.386826,204.781433,456.567078,596.548096,86.2052612,0.343434334,64.1540375
maniskill_gpu_sim,disagg_2_1_1,both_fixed,1,1,1,8,0,138.21402,,,,0.294145823,138.51825,1.64814937,,
maniskill_gpu_sim,disagg_2_1_1,both_fixed,1,1,1,9,0,138.731598,368.462097,139.690002,204.822021,458.168945,597.61554,86.6529007,0.371571064,62.9675827
