backend,placement,variant,compile,fused,step_index,analysis_excluded,actor_training_s,run_interact_once_s,env_interact_step_s,construct_rollout_batch_s,step_s,actor_sync_model_to_rollout_s,success_once
maniskill_gpu_sim,collocated_4,baseline,0,0,1,1,111.1,124.3,69.177,127.8,240.5,3.278,0.53763443
maniskill_gpu_sim,collocated_4,baseline,0,0,2,1,112.2,,,0.160,114.1,114.6,
maniskill_gpu_sim,collocated_4,baseline,0,0,3,1,111.6,206.6,127.6,189.0,301.8,52.4,0.39425588
maniskill_gpu_sim,collocated_4,baseline,0,0,4,0,111.0,217.0,130.9,113.6,228.3,2.728,0.375
maniskill_gpu_sim,collocated_4,baseline,0,0,5,0,113.5,235.6,146.1,156.8,274.3,4.473,0.39303482
maniskill_gpu_sim,collocated_4,baseline,0,0,6,0,111.5,251.9,158.2,187.9,299.5,4.006,0.34210527
maniskill_gpu_sim,collocated_4,baseline,0,0,7,0,113.4,275.8,178.0,346.8,463.8,1.921,0.34929577
maniskill_gpu_sim,collocated_4,baseline,0,0,8,0,111.0,171.5,96.764,115.6,230.4,119.2,0.29411766
maniskill_gpu_sim,collocated_4,baseline,0,0,9,0,111.0,233.8,147.7,177.9,291.6,42.1,0.41304347
maniskill_gpu_sim,collocated_4,compile,1,0,1,1,110.3,186.7,68.814,192.0,304.0,3.322,0.53723407
maniskill_gpu_sim,collocated_4,compile,1,0,2,1,111.4,,,0.269,112.7,1.744,
maniskill_gpu_sim,collocated_4,compile,1,0,3,1,112.2,201.5,130.6,203.1,316.0,45.9,0.39370078
maniskill_gpu_sim,collocated_4,compile,1,0,4,0,112.4,250.5,166.8,129.7,242.6,3.846,0.33846155
maniskill_gpu_sim,collocated_4,compile,1,0,5,0,111.2,229.2,149.9,225.2,337.5,1.832,0.32876712
maniskill_gpu_sim,collocated_4,compile,1,0,6,0,111.3,295.7,204.5,149.9,263.0,2.138,0.35714287
maniskill_gpu_sim,collocated_4,compile,1,0,7,0,112.9,204.1,129.1,213.2,327.2,2.176,0.3457627
maniskill_gpu_sim,collocated_4,compile,1,0,8,0,110.3,270.0,181.5,245.2,359.0,2.133,0.3611111
maniskill_gpu_sim,collocated_4,compile,1,0,9,0,111.7,248.5,164.6,222.1,335.8,3.455,0.35458168
maniskill_gpu_sim,collocated_4,fused,0,1,1,1,106.0,127.3,71.895,141.8,247.9,3.292,0.5409836
maniskill_gpu_sim,collocated_4,fused,0,1,2,1,104.5,,,0.326,104.9,1.954,
maniskill_gpu_sim,collocated_4,fused,0,1,3,1,105.6,205.0,130.8,232.2,338.9,44.4,0.41919193
maniskill_gpu_sim,collocated_4,fused,0,1,4,0,104.2,231.9,148.8,70.577,175.8,2.279,0.38613862
maniskill_gpu_sim,collocated_4,fused,0,1,5,0,104.7,224.1,144.9,209.2,317.1,9.267,0.32848838
maniskill_gpu_sim,collocated_4,fused,0,1,6,0,104.3,279.3,188.0,243.2,347.6,3.196,0.384
maniskill_gpu_sim,collocated_4,fused,0,1,7,0,104.5,268.8,177.0,186.1,293.7,188.1,0.34126985
maniskill_gpu_sim,collocated_4,fused,0,1,8,0,105.6,198.2,121.5,229.1,334.8,3.149,0.35609755
maniskill_gpu_sim,collocated_4,fused,0,1,9,0,105.2,285.9,193.9,301.4,409.2,21.3,0.41551247
maniskill_gpu_sim,collocated_4,both,1,1,1,1,104.2,170.0,69.084,171.9,276.2,3.270,0.5319149
maniskill_gpu_sim,collocated_4,both,1,1,2,1,103.7,,,0.199,103.9,1.574,
maniskill_gpu_sim,collocated_4,both,1,1,3,1,102.3,192.8,123.9,175.9,281.1,45.5,0.39686683
maniskill_gpu_sim,collocated_4,both,1,1,4,0,103.8,200.5,127.4,100.6,204.5,2.831,0.36
maniskill_gpu_sim,collocated_4,both,1,1,5,0,105.0,226.2,149.4,164.8,269.9,20.7,0.3529412
maniskill_gpu_sim,collocated_4,both,1,1,6,0,104.4,256.4,171.2,194.9,299.5,1.726,0.35690236
maniskill_gpu_sim,collocated_4,both,1,1,7,0,104.6,190.0,119.3,147.8,254.2,149.9,0.3773585
maniskill_gpu_sim,collocated_4,both,1,1,8,0,103.5,222.6,144.9,332.6,438.6,51.3,0.32908162
maniskill_gpu_sim,collocated_4,both,1,1,9,0,104.0,317.6,220.9,100.6,205.7,12.0,0.41614908
