backend,placement,variant,compile,fused,step_index,analysis_excluded,actor_training_s,run_interact_once_s,env_interact_step_s,construct_rollout_batch_s,step_s,actor_sync_model_to_rollout_s,success_once
maniskill_gpu_sim,disagg_2_2,baseline,0,0,1,1,147.8,208.4,90.360,213.2,361.0,2.513,0.51648355
maniskill_gpu_sim,disagg_2_2,baseline,0,0,2,1,146.7,217.1,92.041,0.300,150.3,0.964,0.35449734
maniskill_gpu_sim,disagg_2_2,baseline,0,0,3,1,146.7,221.7,92.902,136.9,289.6,3.302,0.30601093
maniskill_gpu_sim,disagg_2_2,baseline,0,0,4,0,146.3,224.2,93.001,71.594,224.3,6.008,0.2857143
maniskill_gpu_sim,disagg_2_2,baseline,0,0,5,0,148.1,224.1,92.791,70.620,224.1,6.344,0.35751295
maniskill_gpu_sim,disagg_2_2,baseline,0,0,6,0,148.0,223.6,92.949,70.655,223.3,5.406,0.31606218
maniskill_gpu_sim,disagg_2_2,baseline,0,0,7,0,148.0,223.8,92.738,71.579,224.0,4.573,0.3398058
maniskill_gpu_sim,disagg_2_2,baseline,0,0,8,0,147.9,224.0,92.813,70.651,223.9,4.492,0.38916257
maniskill_gpu_sim,disagg_2_2,baseline,0,0,9,0,149.0,224.0,93.009,71.591,224.4,5.279,0.37438422
maniskill_gpu_sim,disagg_2_2,compile,1,0,1,1,148.2,267.6,91.779,274.4,427.2,2.496,0.5752688
maniskill_gpu_sim,disagg_2_2,compile,1,0,2,1,147.3,207.5,94.006,0.326,149.5,4.595,0.38860103
maniskill_gpu_sim,disagg_2_2,compile,1,0,3,1,146.9,209.4,94.164,111.8,263.9,1.895,0.36410257
maniskill_gpu_sim,disagg_2_2,compile,1,0,4,0,146.9,211.3,94.310,58.531,211.7,5.138,0.3316062
maniskill_gpu_sim,disagg_2_2,compile,1,0,5,0,146.7,211.4,94.500,57.572,204.3,6.234,0.3041237
maniskill_gpu_sim,disagg_2_2,compile,1,0,6,0,147.5,210.6,93.605,62.571,210.1,1.000,0.2972973
maniskill_gpu_sim,disagg_2_2,compile,1,0,7,0,147.0,211.5,94.454,62.543,209.6,1.002,0.3
maniskill_gpu_sim,disagg_2_2,compile,1,0,8,0,146.9,211.5,94.315,63.545,210.4,0.993,0.2631579
maniskill_gpu_sim,disagg_2_2,compile,1,0,9,0,146.8,211.6,94.398,63.608,210.4,1.006,0.3316583
maniskill_gpu_sim,disagg_2_2,fused,0,1,1,1,139.4,199.3,91.632,204.1,344.4,2.519,0.5054348
maniskill_gpu_sim,disagg_2_2,fused,0,1,2,1,137.9,207.6,93.607,0.298,143.3,1.028,0.35359117
maniskill_gpu_sim,disagg_2_2,fused,0,1,3,1,138.0,209.2,93.500,135.9,279.9,5.021,0.34196892
maniskill_gpu_sim,disagg_2_2,fused,0,1,4,0,138.2,215.9,94.751,69.634,210.8,5.988,0.2972973
maniskill_gpu_sim,disagg_2_2,fused,0,1,5,0,138.2,217.7,94.439,76.632,217.2,2.873,0.36180905
maniskill_gpu_sim,disagg_2_2,fused,0,1,6,0,138.0,218.1,95.171,77.685,216.8,2.359,0.3131313
maniskill_gpu_sim,disagg_2_2,fused,0,1,7,0,138.2,217.5,94.654,79.691,217.9,1.150,0.3401015
maniskill_gpu_sim,disagg_2_2,fused,0,1,8,0,138.3,217.1,94.149,77.635,216.0,0.998,0.29591838
maniskill_gpu_sim,disagg_2_2,fused,0,1,9,0,138.4,217.7,94.647,78.735,217.2,0.980,0.30890054
maniskill_gpu_sim,disagg_2_2,both,1,1,1,1,139.5,239.9,91.182,244.3,390.0,2.484,0.53763443
maniskill_gpu_sim,disagg_2_2,both,1,1,2,1,137.7,202.8,93.134,0.297,141.4,6.224,0.3258427
maniskill_gpu_sim,disagg_2_2,both,1,1,3,1,137.7,208.4,93.514,124.0,265.8,3.342,0.32085562
maniskill_gpu_sim,disagg_2_2,both,1,1,4,0,137.7,206.6,93.548,62.617,204.9,4.133,0.30366492
maniskill_gpu_sim,disagg_2_2,both,1,1,5,0,137.7,209.8,94.037,67.654,210.3,4.521,0.27173913
maniskill_gpu_sim,disagg_2_2,both,1,1,6,0,137.6,210.4,94.330,66.660,210.1,4.993,0.31958762
maniskill_gpu_sim,disagg_2_2,both,1,1,7,0,137.8,210.1,94.226,66.575,209.7,5.798,0.36363637
maniskill_gpu_sim,disagg_2_2,both,1,1,8,0,138.0,209.4,93.956,66.591,209.9,5.273,0.34895834
maniskill_gpu_sim,disagg_2_2,both,1,1,9,0,138.4,210.1,94.438,66.612,209.9,5.315,0.36
