backend,mode,placement,variant,compile,fused,step_index,analysis_excluded,actor_run_training_s,rollout_predict_s,generate_rollouts_s,rollout_generate_one_epoch_s,env_run_interact_once_s,env_bootstrap_step_s,env_interact_step_s,sync_weights_s,cal_adv_and_returns_s,step_s,success_once
libero,sync,collocated_4,baseline,0,0,1,1,20.017,25.544,56.777,56.011,56.567,17.650,11.833,3.957,0.022,80.775,0.4375
libero,sync,collocated_4,baseline,0,0,2,1,19.612,25.857,55.813,55.163,55.658,17.588,11.741,2.056,0.0062,77.489,0.46875
libero,sync,collocated_4,baseline,0,0,3,1,19.582,25.347,56.216,55.630,56.066,17.757,11.896,1.975,0.011,77.786,0.34375
libero,sync,collocated_4,baseline,0,0,4,0,19.550,26.189,54.903,54.300,54.756,17.748,11.804,1.940,0.0063,76.402,0.421875
libero,sync,collocated_4,baseline,0,0,5,0,19.653,25.479,54.398,53.821,54.236,16.961,12.037,2.136,0.0063,76.195,0.484375
libero,sync,collocated_4,baseline,0,0,6,0,19.896,25.766,56.108,55.436,55.964,18.069,11.816,2.277,0.0068,78.289,0.46875
libero,sync,collocated_4,baseline,0,0,7,0,19.796,26.189,55.556,54.927,55.408,17.427,11.866,1.923,0.0064,77.283,0.46875
libero,sync,collocated_4,baseline,0,0,8,0,20.091,25.641,55.945,55.325,55.791,17.906,11.924,1.887,0.0067,77.931,0.375
libero,sync,collocated_4,baseline,0,0,9,0,19.631,26.439,55.763,54.951,55.537,17.594,11.743,1.897,0.0063,77.299,0.40625
libero,sync,collocated_4,compile,1,0,1,1,20.067,55.091,85.528,84.851,85.332,17.330,11.579,3.802,0.022,109.4,0.453125
libero,sync,collocated_4,compile,1,0,2,1,19.577,22.849,52.652,52.046,52.511,18.591,11.705,2.388,0.0063,74.625,0.390625
libero,sync,collocated_4,compile,1,0,3,1,19.545,23.385,53.305,52.617,53.156,17.309,11.869,2.015,0.0064,74.874,0.34375
libero,sync,collocated_4,compile,1,0,4,0,19.552,22.970,52.516,51.919,52.374,18.394,11.839,2.024,0.0062,74.101,0.5
libero,sync,collocated_4,compile,1,0,5,0,19.759,23.584,53.420,52.504,53.270,17.656,11.879,2.058,0.0065,75.244,0.4375
libero,sync,collocated_4,compile,1,0,6,0,19.511,24.052,52.467,51.848,52.318,17.379,11.948,1.975,0.0067,73.962,0.421875
libero,sync,collocated_4,compile,1,0,7,0,19.551,22.493,50.845,50.177,50.697,17.696,11.766,1.990,0.0067,72.395,0.375
libero,sync,collocated_4,compile,1,0,8,0,19.573,24.243,53.748,52.968,53.601,17.850,11.858,1.972,0.0065,75.301,0.359375
libero,sync,collocated_4,compile,1,0,9,0,19.652,24.209,53.152,52.458,52.996,17.526,11.798,1.976,0.0077,74.789,0.390625
libero,sync,collocated_4,fused,0,1,1,1,19.606,24.729,55.039,54.299,54.774,17.328,11.784,3.739,0.022,78.409,0.375
libero,sync,collocated_4,fused,0,1,2,1,18.913,23.924,55.356,54.752,55.204,18.678,11.808,2.056,0.0064,76.334,0.4375
libero,sync,collocated_4,fused,0,1,3,1,18.680,24.024,54.747,54.116,54.596,18.317,11.881,1.900,0.0067,75.335,0.328125
libero,sync,collocated_4,fused,0,1,4,0,18.721,24.966,54.728,54.135,54.568,18.322,11.969,1.901,0.0066,75.358,0.421875
libero,sync,collocated_4,fused,0,1,5,0,18.767,25.039,55.329,54.674,55.184,18.258,11.842,1.910,0.0070,76.014,0.390625
libero,sync,collocated_4,fused,0,1,6,0,18.781,24.337,54.753,53.881,54.587,17.492,11.883,1.945,0.0081,75.489,0.421875
libero,sync,collocated_4,fused,0,1,7,0,18.748,24.713,54.358,53.753,54.201,18.718,11.867,1.880,0.0067,74.995,0.4375
libero,sync,collocated_4,fused,0,1,8,0,18.750,24.212,53.931,52.975,53.763,17.490,12.030,1.910,0.0065,74.600,0.4375
libero,sync,collocated_4,fused,0,1,9,0,18.696,24.905,55.065,54.489,54.908,17.814,12.070,1.885,0.0064,75.654,0.265625
libero,sync,collocated_4,both,1,1,1,1,19.712,59.790,89.540,88.905,89.360,17.531,11.508,3.828,0.021,113.1,0.359375
libero,sync,collocated_4,both,1,1,2,1,18.717,21.913,53.240,52.440,53.071,17.981,11.668,2.393,0.0062,74.359,0.296875
libero,sync,collocated_4,both,1,1,3,1,18.778,22.969,53.914,53.313,53.764,17.938,12.066,2.013,0.0063,74.713,0.53125
libero,sync,collocated_4,both,1,1,4,0,18.826,22.001,51.814,51.161,51.664,17.095,11.744,2.009,0.0064,72.658,0.375
libero,sync,collocated_4,both,1,1,5,0,18.945,23.236,53.279,52.605,53.143,17.516,11.912,2.017,0.0066,74.249,0.34375
libero,sync,collocated_4,both,1,1,6,0,18.780,22.420,52.625,51.995,52.487,18.208,11.899,2.007,0.0063,73.420,0.46875
libero,sync,collocated_4,both,1,1,7,0,18.766,22.166,52.450,51.759,52.300,17.061,12.040,1.980,0.0062,73.204,0.484375
libero,sync,collocated_4,both,1,1,8,0,18.790,22.774,53.589,53.018,53.431,17.741,11.972,1.998,0.0066,74.385,0.296875
libero,sync,collocated_4,both,1,1,9,0,18.902,23.102,53.107,52.328,52.907,17.226,11.908,2.003,0.0063,74.020,0.4375
