backend,mode,placement,workload,variant,compile,fused,step_index,analysis_excluded,actor_run_training_s,rollout_predict_s,generate_rollouts_s,rollout_generate_one_epoch_s,env_run_interact_once_s,env_bootstrap_step_s,env_interact_step_s,sync_weights_s,cal_adv_and_returns_s,step_s,success_once
libero,sync,collocated_4,async_matched,baseline,0,0,1,1,39.307678,25.069557,62.142746,60.678719,61.916702,17.628231,16.950382,4.091145,0.021818,105.565506,0.468750
libero,sync,collocated_4,async_matched,baseline,0,0,2,1,38.837658,25.259850,62.073338,60.685463,61.921883,18.478355,16.996067,2.114627,0.006482,103.033897,0.390625
libero,sync,collocated_4,async_matched,baseline,0,0,3,1,38.752941,26.136229,61.064053,59.749947,60.895252,17.380472,17.132811,1.936161,0.006581,101.761688,0.375000
libero,sync,collocated_4,async_matched,baseline,0,0,4,0,38.647110,24.966644,61.202927,59.658562,61.023449,17.290985,16.771385,2.027941,0.006125,101.886055,0.312500
libero,sync,collocated_4,async_matched,baseline,0,0,5,0,38.816612,26.299223,61.884556,60.491631,61.726624,17.865393,17.313368,2.013383,0.006479,102.722916,0.390625
libero,sync,collocated_4,async_matched,baseline,0,0,6,0,38.754101,25.067682,61.346363,60.067310,61.174225,17.029463,17.273716,1.965669,0.006493,102.074387,0.390625
libero,sync,collocated_4,async_matched,baseline,0,0,7,0,38.690720,26.337107,62.078499,60.873959,61.924194,18.018791,17.316216,1.960013,0.007415,102.738594,0.218750
libero,sync,collocated_4,async_matched,baseline,0,0,8,0,38.815533,25.984236,62.852013,61.492153,62.706768,18.415192,17.210302,1.975626,0.006800,103.651688,0.281250
libero,sync,collocated_4,async_matched,baseline,0,0,9,0,38.930958,26.198675,61.069698,59.822239,60.907906,17.060215,17.122330,1.929984,0.007168,101.939728,0.406250
libero,sync,collocated_4,async_matched,compile_only,1,0,1,1,39.087696,54.810604,91.833542,90.442268,91.622490,18.141890,16.967869,3.916049,0.022068,134.861481,0.453125
libero,sync,collocated_4,async_matched,compile_only,1,0,2,1,38.903320,23.362120,58.063393,56.815090,57.922813,16.858240,16.742748,2.452802,0.006256,99.427467,0.359375
libero,sync,collocated_4,async_matched,compile_only,1,0,3,1,38.618053,23.795494,61.411110,60.207443,61.266212,20.015408,17.056585,2.045086,0.006279,102.082260,0.359375
libero,sync,collocated_4,async_matched,compile_only,1,0,4,0,38.642025,23.602587,59.614887,58.361088,59.470879,18.622932,16.850962,2.009185,0.006681,100.274498,0.390625
libero,sync,collocated_4,async_matched,compile_only,1,0,5,0,38.894676,23.156324,59.558289,58.333801,59.399166,19.448885,16.722723,2.059732,0.007946,100.522552,0.421875
libero,sync,collocated_4,async_matched,compile_only,1,0,6,0,38.700603,23.631559,59.277065,58.027859,59.119663,18.381376,16.709713,2.014419,0.006268,100.000160,0.343750
libero,sync,collocated_4,async_matched,compile_only,1,0,7,0,38.572426,22.498505,58.238785,56.955765,58.083511,17.126860,16.790218,2.013255,0.006738,98.832970,0.281250
libero,sync,collocated_4,async_matched,compile_only,1,0,8,0,38.741669,22.356012,57.549034,56.192585,57.385765,16.758152,16.768509,2.037807,0.006990,98.337234,0.437500
libero,sync,collocated_4,async_matched,compile_only,1,0,9,0,38.933781,23.027250,57.672527,56.339252,57.514561,16.443045,17.007238,2.036274,0.006218,98.650589,0.515625
libero,sync,collocated_4,async_matched,fused_only,0,1,1,1,38.109718,24.216537,61.251839,59.654465,61.028805,17.996204,16.932247,3.931638,0.026179,103.322067,0.375000
libero,sync,collocated_4,async_matched,fused_only,0,1,2,1,37.065514,25.484751,60.941570,59.756344,60.798676,19.050608,16.935856,1.994310,0.007249,100.010834,0.312500
libero,sync,collocated_4,async_matched,fused_only,0,1,3,1,36.919548,23.543167,59.011734,57.713024,58.859047,17.518108,16.874144,2.259099,0.006286,98.198654,0.421875
libero,sync,collocated_4,async_matched,fused_only,0,1,4,0,37.081188,25.016136,59.964462,58.599236,59.822086,17.761530,16.916290,1.963032,0.006173,99.016983,0.375000
libero,sync,collocated_4,async_matched,fused_only,0,1,5,0,37.736172,25.515257,59.795963,58.518707,59.631638,18.147701,17.164961,1.926568,0.007087,99.467972,0.421875
libero,sync,collocated_4,async_matched,fused_only,0,1,6,0,37.029816,23.707754,61.799267,60.330215,61.641369,18.710329,16.951460,2.296751,0.006335,101.133942,0.468750
libero,sync,collocated_4,async_matched,fused_only,0,1,7,0,37.042339,25.535009,60.991810,59.549458,60.807457,18.385035,17.208525,2.069043,0.006778,100.111687,0.281250
libero,sync,collocated_4,async_matched,fused_only,0,1,8,0,37.222931,24.474768,60.507328,59.163612,60.354599,17.685722,16.981012,2.088523,0.006395,99.827072,0.625000
libero,sync,collocated_4,async_matched,fused_only,0,1,9,0,37.053078,25.021650,59.935722,58.588707,59.770679,18.002777,16.906895,2.093267,0.006650,99.090858,0.453125
libero,sync,collocated_4,async_matched,fused_compile,1,1,1,1,38.563763,60.605518,96.992683,95.617973,96.799065,17.750420,16.720764,4.707108,0.021966,140.287781,0.390625
libero,sync,collocated_4,async_matched,fused_compile,1,1,2,1,37.409435,23.284683,59.111805,57.857140,58.962830,19.186707,16.748638,2.432121,0.006491,98.961853,0.437500
libero,sync,collocated_4,async_matched,fused_compile,1,1,3,1,37.135052,23.637007,59.062206,57.713398,58.892700,19.387732,16.687613,2.104672,0.006287,98.310127,0.343750
libero,sync,collocated_4,async_matched,fused_compile,1,1,4,0,37.436642,23.777056,58.472244,57.276245,58.321678,18.380444,16.627016,2.050924,0.006194,97.967850,0.421875
libero,sync,collocated_4,async_matched,fused_compile,1,1,5,0,37.126839,23.951420,57.519958,56.299854,57.361374,16.815845,16.929983,2.121837,0.006645,96.777115,0.500000
libero,sync,collocated_4,async_matched,fused_compile,1,1,6,0,37.166466,23.302774,57.557106,56.341656,57.405724,16.526278,16.694677,2.031251,0.006441,96.763039,0.312500
libero,sync,collocated_4,async_matched,fused_compile,1,1,7,0,37.189167,23.284294,56.303944,55.048748,56.159344,15.425703,16.787106,2.005806,0.006227,95.506897,0.546875
